3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 2 REPORT EXPANSIONS,,,,,,,,,,,,,,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
38,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"Promvoisniiotonr ifnogr ,P S eh esy ccs toii ocrntai nl f ogS r ea acn udpr eiat ryriom G deu doa frr ted hsin rpegoe nS (se 3er )v yiinc e e aths res w Nhoicrhth iwncelsutd e",Modise Protection Services,Expansion,"R4 484 995,20","R5 157 744,48","R0,00",2024/05/21,2021/06/01,2024/05/31,Reported,
39,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,oM Mf oSpd uui mbfisc ata laatti noiognna f Po Prr rot ohjeve ic an tp ncsr de oo swvr i whspi eaio tnhrnt ”is n o r t ef Lh qr ieme urfeliu aro er nbf dg ir s ae bh q aCmu slieiusrnesttde a rfno Udr n Lc iitom onpnso t arpu noc “tai aonsnd,AfroV oEltlaegcet Mr iTc aea nMcl a p hg an e no m dl oe eg n y B t cuS cs A i nt /( ea P s tMs y )o E o L n dt td e E r p l e r ci s t e r Ci c E a El - H O HO i g h,E x p ansion,"R117 751 474,00","R135 414 195,10","R153 873 433,94",2024/05/31,2017/04/01,2025/05/31,Reported,
40,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,UnFit r5e qEuaernthc yB Poxo wSewri tSchu pBpolyx aRte Kfuernbdisahl mPeonwt efro rS tthaeti oHnigh,"Rethusent Live Line & Services (Pty) Ltd Secrete
TE Filters",Expansion,"R110 960,00","R127 604,00","R615 801,28",2024/06/18,2023/11/01,2024/09/30,Reported,
41,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,ProvisiRone soef aFracchi laitnieds IMnnaonvaagtieomn eCnet nStererv bicueilsd iantg Eskom,Kgoshi Electrical cc,Expansion,"R6 226 590,00","R7 160 578,50","R7 269 830,00",2024/05/27,2021/04/01,2024/03/31,Reported,
42,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"HDigehs iFgrne,q muaennucyfa Pctouwree,r i fnSos ru tpUapl nlaliytt s i(o H1n F, t oPte S6s)ti nagt ,K croieml mPoiswseiorn Sintagt ioofn",Lesedi Castlet Consortium,Expansion,"R3 480 031,85","R4 002 036,63","R0,00",2024/06/05,2021/12/03,2024/08/31,Reported,
43,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,Modification No. 2 foLre tthhea binos Ptaollwateior nS toaft iHoFn PT for Unit 1 to 6 at,Alstom/General Electric Power Services (Pty) Ltd,Expansion,"R6 998 999,93","R8 048 849,92","R70 209 758,80",2024./5/27,2019/12/31,2025/01/19,Reported,
44,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"duPrrionvgi sthioen oouf tPagJeF Fa ti nKsupsre eilceqt uioPirnoe,w dre e brp a aSsitirasst iaonnd o bna agn r eaps laacnedm wehnet n",TT Thermal Suppliers (Pty) Ltd,Expansion,"R34 269 246,73","R39 409 633,74","R0,00",2024/06/13,2021/12/01,2024/11/30,Reported,
45,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,ProvisioCnl eoaf nBinogil edru irnintegr nOaul thaiggeh aptr eKsussuirlee Pwoawsheirn Sg taantiodn general,Vhakoni Industrial Solutions,Expansion,"R8 847 665,00","R10 174 814,75","R11 008 321,24",2024/06/13,2021/06/15,2025/05/16,Reported,
46,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"The supply, delivevaryr ioaunsd Pooffwloeard iSntga toiof npsetrol and diesel to",PetroSA (SOC) Ltd,Expansion,"R225 976 611,47","R259 873 103,19","R1 884 972 556,65",2024/06/18,2019/10/01,2024/09/30,Reported,
47,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,dFairmsta PgOed - cgSoetmnri eppr oaantn oed rn Q mtsu a &o in tr eeo.pi l a pMiur o mCd paif mi &cda geti eno a nur bnP oiOtx 4 .- tMurabcinhein &e,Siemens Energy (Pty) Ltd,Expansion,"R9 367 709,78","R10 772 866,25","R0,00",2024/06/07,2024/03/26,2024/09/30,Reported,
