3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 2 REPORT EXPANSIONS,,,,,,,,,,,,,,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
221,Q2 2024/25,2024/09/06,South African Social Security Agency (SASSA),(guaaprpdoiningt mseernvti coefs s)e ar ttv h itc ihre tey p ssraio xsv s(i 3da6e f)rr emtoeo rsnettan htd see . rre pghioyns icfoarl as epceurrioityd of,mushoma security services and projects cc,Creogniotrna cist einx pthiree sp roonc et ahs esn e3ow0f tb h ci doo nef tvS raae clputtaetmiobne fro r2 0a2w4a radnindg t hoef,"R6 615 107,31","R61 557 449,76","R0,00",2024/09/03,2024/10/01,2024/12/31,Reported,
222,Q2 2024/25,2024/09/12,Legal Aid South Africa,"Strategic LitigFaotiroens tSrye ravnicde Fs isAhBeCri evs M &in oisthteerr sof Agriculture,",Advocate Kameshni PSilltaeyy nSC and Advocate Nikki,Additional budget,"R414 397,70","R410 600,00","R0,00",2024/08/19,2024/09/16,2024/09/20,Reported,
223,Q2 2024/25,2024/09/12,Legal Aid South Africa,Strategic LitigatioMn pSheervpihcue sR Mamasaibnudlia Cnlaement Mphephu v,Hamman Moosa Incorporated,Additional budget,"R1 430 079,75","R1 289 346,65","R256 985,80",2024/08/20,2024/09/30,2024/10/04,Reported,
224,Q2 2024/25,2024/09/12,Legal Aid South Africa,Travel Management Services,Atlantis Corporate Travel,Tender process not yet concluded,"R75 900,00","R724 905,72","R94 875,00",2024/08/16,2024/09/01,2024/12/31,Reported,
225,Q2 2024/25,2024/09/12,Legal Aid South Africa,Kirkwood Satellite Office Cleaning Services,Alvofield CC,To align the contract with the leasse contract,"R10 500,00","R10 500,00","R0,00",2024/08/16,2024/09/01,2024/11/30,Reported,
226,Q2 2024/25,2024/09/12,Legal Aid South Africa,Kirkwood Satellite Office Security Services,Smhart security,To align the contract with the leasse contract,"R897,00","R897,00","R0,00",2024/08/19,2024/09/01,2024/11/30,Reported,
227,Q2 2024/25,2024/09/12,Legal Aid South Africa,Kirkwood Satellite Office Hygiene Services,Khanya Cleaning Group,To align the contract with the leasse contract,"R3 643,20","R3 643,20","R0,00",2024/08/19,2024/09/01,2024/11/30,Reported,
228,Q2 2024/25,2024/09/12,Legal Aid South Africa,Provision of security services at Legal-Aid National Office,TDP Enterprise & Projects,increasing the scope of work,"R687 737,59","R6 831 795,78","R0,00",2024/08/23,2024/10/01,2027/03/31,Reported,
229,Q2 2024/25,2024/09/12,Legal Aid South Africa,Evaluation of sSuiotalubtlieo nesn steerrpvricisees r aegsoreuercmeesn ptlanning (ERP),Efive Networx (Pty) Ltd,Tender process not yet concluded,"R241 500,00","R515 200,00","R0,00",2024/08/26,2024/09/02,2024/10/31,Reported,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
230,Q2 2024/25,2024/09/12,Legal Aid South Africa,Free State / North Weasct cPormovoidnactiaiol nO)ffice (Leasse of office,PHG Property House,Tender process not yet concluded,"R371 324,88","R3 079 230,54","R371 324,88",2024/08/26,2024/09/01,2025/02/28,Reported,
231,Q2 2024/25,2024/09/12,Legal Aid South Africa,Cape Town Local Office (Leasse of office accomodation),South African Reserve Bank,Procurement process not yet concluded,"R1 499 297,44","R8 769 120,19","R5 007 158,22",2024/08/26,2024/09/01,2025/03/31,Reported,
232,Q2 2024/25,2024/09/12,Legal Aid South Africa,Kirkwood Satellite Office (Leasse of office accomodation),Aqua Algemene Handelaars CC,Procurement process not yet concluded,"R49 089,24","R833 931,12","R427 777,74",2024/08/23,2024/09/01,2024/11/30,Reported,
233,Q2 2024/25,2024/09/12,Legal Aid South Africa,Western Cap(eL e/ aNsosreth oefr no fCficaep ea c(WcoCm/oNdCa)t iPonro)vincial Office,JDR Trust,Tender process not yet concluded,"R1 072 554,36","R4 412 159,96","R0,00",2024/08/26,2024/09/01,2025/08/31,Reported,
234,Q2 2024/25,2024/09/12,Legal Aid South Africa,Umlazi Local Office (Leasse of office accomodation),Ithala Development Finance Corporation Limited,Tender process not yet concluded,"R453 016,12","R1 735 950,37","R211 691,07",2024/06/27,2024/07/01,2025/06/30,Reported,
235,Q2 2024/25,2024/08/29,National Home Builders Registration Council (NHBRC),paerxktienngs fioanci loitfi eths efo cru mrraehnitk nemhnobgnr coth fofsifcfeic efo ar cac poemrmioodd oaft itohnre aen (d3 ),Columbia falls properties 80 (Pty) Ltd,Impractical / Impossible,"R174 446,13","R2 784 588,04",R0.00,2024/08/28,2024/08/31,2024/11/30,Reported,
236,Q2 2024/25,2024/09/13,National Lotteries Commission (NLC),Security services,Malope Aphahla security,To secure NLC unoccupied offices,"R684 000,00","R5 289 665,51","R0,00",2024/08/14,2024/08/14,2025/02/18,Reported,
237,Q2 2024/25,2024/09/13,National Lotteries Commission (NLC),Security services,Sniper security,To secure NLC unoccupied offices,"R684 000,00","R6 696 769,20","R0,00",2024/08/14,2024/08/14,2025/02/18,Reported,
238,Q2 2024/25,2024/09/13,National Lotteries Commission (NLC),Security services,M Guard security,To secure NLC unoccupied offices,"R56 146 212,00","R5 316 385,85","R0,00",2024/08/14,2024/08/14,2025/02/18,Reported,
239,Q2 2024/25,2024/09/13,National Lotteries Commission (NLC),Media Training services,Zindela Communications,Media Training services,"R126 000,00","R98 325,00","R0,00",,,2024/08/31,Reported,
240,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"TaEhsResIo S Ccuioap ntpesldty r u,c rcdo eten qiols uiv nu ire m eSr dyae bra bvln aeicd ssei sOas t ff b oftl uh ro sea ai d nv pi ean esrg risio o ouudfsn L o ipti f,g o 1ohw nt yien earg a s “rMta”a sat itoaennrsdia il wns hathenend",Imperial & Lighting (Pty) LTD,Expansion,"R3 838 650,00","R4 414 447,50","R0,00",2024/04/29,2023/05/01,2025/04/30,Reported,
241,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Security Services.,Best Enough Trading Projects 147 CC,Expansion,"R8 167 526,51","R9 392 655,49","R0,00",2024/04/12,2021/11/22,2025/01/02,Reported,
242,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"The repfruortbeicsthiomne, ntet,s itninsgta allnadtio cno mofm ciasbslieosn, arat cvkasri opuosw seirt ecsontrol,",Fullserve (Pty) Ltd,Expansion,"R18 428 439,31","R21 192 705,21","R0,00",2024/04/03,2021/04/08,2024/12/08,Reported,
243,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"eT-Thoel lVse Choicnletr aRcet nfotar l ain pcelurrid eoi qdn goi rfd ta dwm boa a(g s2e i)ss .y, eeaxrcse osns kainlo amse atrneds ,w ahnedn
u e","EuropCar Van SRuepnetarl-,R Heanmt, bAafnriaRthein, t. U-Rent, VDM,",Expansion,"R50 000 000,00","R57 500 000,00","R100 440 755,00",2024/05/15,2020/05/01,2024/06/30,Reported,
244,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Supply and delivery of Transformer Insulation Oil,Engen Petroleum,Expansion,"R9 616 613,40","R11 059 105,41","R78 947 452,50",2024/05/15,2022/02/19,2026/02/18,Reported,
245,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Supply and delivery of Transformer Insulation Oil,Engen Petroleum,Expansion,"R25 838 785,00","R29 714 602,75","R104 786 238,50",2024/07/10,2022/02/19,2026/02/18,Reported,
246,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"Supply, deliver and conresstrtuocratitoionn o pf rMojiencetrva-Vulcan 400 KV line",Ompetha Power Projects (Pty) Ltd,Expansion,"R18 139 414,40","R20 860 326,56","R0,00",2024/05/08,2023/10/09,2025/01/08,Reported,
247,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,The Hire of mobile Plant for a period of 24 months,"MaSrecXcomt Bpo oaor o ml6or, b,, S MaXe nmc aat co no oo ir ,p r M6,o ,Ol aoKv se ,a hLns eet, l , seE eM ,k dPeS ion, M Xte lm, aa L kn oe os os ,, erP B,d o aMi,t m lKaa berk cano ont, p , a NPonca iloetll ,a ek, o,",Expansion,"R232 068 168,00","R266 878 393,20","R167 817 885,00",2024/06/28,2022/01/01,2025/01/15,Reported,
248,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Modification report request - Bell Equipment South Africa,Bell Equipment South Africa,Expansion,"R37 544 102,26","R43 175 717,60","R0,00",2024/06/19,2022/12/19,2025/12/20,Reported,
249,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"Modification report, Genserve",General Electric,Expansion,"R52 914 171,72","R60 851 297,48","R0,00",2024/08/10,2022/08/24,2024/08/24,Reported,
250,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"HDigehs iFgrne,q muaennucyfa Pctouwree,r i fnSos ru tpUapl nlaliytt s i(o H1n F, t oPte S6s)ti nagt ,K croieml mPoiswseiorn Sintagt ioofn",Lesedi Castlet Consortium,Expansion,"R16 530 151,30","R19 009 674,00","R4 002 036,63",2024/08/26,2024/12/03,2026/03/31,Reported,
251,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Provision of private security services at Matimba Power Station,Mjayeli Security Services (Pty) Ltd,Expansion,"R1 896 617,78","R2 181 110,45","R3 867 365,67",2024/07/31,2022/12/15,2024/09/30,Reported,
252,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"ATbhluet iporno vairseioans oatf NDounvh-Ian dPuoswtr yei earal SC rstlaetaionnin fgo-rO af fpiceersio, dK oitcf h3e (nth arened)",Thembalamantungwa Trading (Pty) Ltd,Expansion,"R1 204 775,00","R1 385 491,25","R37 042 241,28",2024/08/01,2024/01/03,2024/09/02,Reported,
253,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"Prodvuiscitoinng o af nmde dcahmanpiecrasl fm Pora o i wan etpe ren Sraiotn adc t ie oo nfo 3f 6fa mbroicn tfhiltse ar tp Claanmt (dFeFnP ),",NNT Engineering Construction CC,Expansion,"R13 624 687,84","R15 668 391,02","R0,00",2024/07/11,2021/12/01,2024/11/30,Reported,
254,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Coal Staithe 1 tripper car rails and clamshell refurbishment,African Commodity Handling Projects,Variation,"R8 187 090,00","R9 415 153,50","R10 356 272,56",2024/07/11,2021/06/28,2025/01/31,Reported,
255,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Supply anPdo Dweelri vSetrayt ioofn B fooril ear Ptuebriiondg oafn Td hsrleipe s Ypeaacresr.s at Arnot,Solid Engineering Works (Pty) Ltd,Expansion,"R33 363 738,89","R38 368 299,72","R0,00",2024/08/19,2023/11/27,2026/11/26,Reported,
256,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Kusile Power Station WRateecro Tvreeraytment Plant Seal Water,Tushcor Holdings (Pty) Ltd,Expansion,"R3 281 474,36","R3 773 695,51","R0,00",2024/08/13,2022/08/15,2025/02/14,Reported,
257,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Refurbishment Sotfa Btioonile fro ar nad p Teruiorbdi noef fVivaelv yeesa arst Majuba Power,Enelad (Pty),Expansion,"R21 484 375,49","R24 707 031,81","R0,00",2024/07/29,2022/04/01,2027/03/31,Reported,
258,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Theexe pcruotvioisni oonf Tofh beu Sstineeasms Gseernveicraetso rto R perpolvaicdeem seunptp Porrto tjeoc tth.e,Allweld Marine and Industrial (Pty) Ltd,Expansion,"R18 120 910,06","R20 839 046,57","R91 741 378,60",2024/08/13,2021/06/10,2025/03/31,Reported,
259,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,eqTuihpem Penrot vhisirieo no no fa an RaOsig pag enin rdag t wia nhn ged Un L nrifeitt .iqnugi rSede rbvaicseis i nact luNduinclge ar,M&M Training & Rigging CC,Expansion,"R6 601 385,15","R7 591 592,92","R74 862 336,31",2024/07/31,2021/04/18,2024/08/31,Reported,
260,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,The Prtoov 6is iaotn M oaf tMlai lPlinogw Perla Sntta Mtioanin ftoern aa npceeri oSde rovfi c4e yse oanrs Units 1,Steinmüller Africa (Pty) Ltd,Expansion,"R41 212 009,00","R47 393 810,35","R149 994 060,84",2024/08/16,2019/12/18,2025/01/17,Reported,
261,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,The provision of Fire DetePcotwioenr SSytastteiomn Maintenance at Camden,MZ Security Systems (Pty) Ltd,Expansion,"R734 991,30","R845 240,00","R845 264,79",2024/08/23,2023/04/24,2024/09/24,Reported,
262,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,The repairs anvda lmveasin atet nMaantclae Pofo wtheer WStealtlaionnd and Tuxhorn,Kulkoni South Africa,Expansion,"R9 932 473,04","R11 422 344,00","R0,00",2024/06/13,2022/03/01,2027/02/28,Reported,
263,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Work home-work transportS fotar teiomnployees at Matimba Power,Makalane Plant Maintenance,Expansion,"R748 870,92","R861 201,56","R2 583 604,67",2024/08/26,2018/09/01,2024/11/30,Reported,
264,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,ePmropvliosyioene sfo or nH ao mdaei-lwy obraks Hiso amt eM Tatriamnbsap oProtawtieorn S otfa stihoinft.,Naremotho Trading Enterprise,Expansion,"R1 315 101,00","R1 512 366,15","R11 583 384,75",2024/08/26,2018/09/01,2024/11/30,Reported,
265,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"Provision for Officaet CMleaatinminbga, PHoywgeiern Set aatniodn C.ar-wash services",Koketso Anna Ngoako Trading,Expansion,"R1 877 547,93","R2 159 180,12","R2 292 079,63",2024/08/26,2021/04/01,2024/11/30,Reported,
266,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,The Construction ofK throen Coso pSpuebrstotant iaonnd Garob IPP project:,Shonisani Rambau,Expansion,"R420 770,00","R483 885,50","R483 885,50",2024/07/30,2023/11/01,2025/05/31,Reported,
267,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"SNToauh tite oh nep arrnlo KvGi esryiiod Pn T oorianf np t,sh Pmy osisric ts a Eiol lnis z e aa(cE rbeu ea ar tsi httye, rMann t hCd a ag tphueaa) r adwninhdgi cE hs ae isnr tvc i Llcuoednsed isn o na",Marebole Security Solutions (Pty) Ltd,Expansion,"R897 000,00","R1 031 550,00","R2 637 604,61",2024/08/16,2021/01/10,2024/09/30,Reported,
268,Q2 2024/25,2024/06/19,Department of Basic Education (DBE),Mimecast Services,SMS ICT Choice,New tender yet to be finalised at SITA,"R36 245,70","R1 304 845,20","R398 702,70",2023/06/21,2024/05/01,2024/05/31,Reported,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
269,Q2 2024/25,2024/06/28,"Petroleum, Oil and G(aPse CtroorSpAo)ration of South Africa",Professional Services for Infrastructure related services,GENBIZ Trading 1001,Internal Budget Increase,"R14 453 173,00","R23 000 000,00","R0,00",2024/06/21,2023/07/17,2026/07/16,Reported,
270,Q2 2024/25,2024/06/28,"Petroleum, Oil and G(aPse CtroorSpAo)ration of South Africa",Professional Services for Infrastructure related services,Nambithi Technologies,Internal Budget Increase,"R878 233,00","R23 000 000,00","R0,00",2024/06/21,2023/07/17,2026/07/16,Reported,
271,Q2 2024/25,2024/06/28,"Petroleum, Oil and G(aPse CtroorSpAo)ration of South Africa",Platform Supply Vessel,African Marine Solutions Group,Internal Budget Increase,"R13 320 000,00","R18 315 000,00","R28 562 209,00",2024/06/27,2023/10/27,2024/06/30,Reported,
272,Q2 2024/25,2024/06/28,"Petroleum, Oil and G(aPse CtroorSpAo)ration of South Africa",Environmental Panel,Mills and Otten Environmental,Internal Budget Increase,"R200 236,00","R6 300 000,00","R0,00",2024/06/25,2020/07/01,2024/06/30,reported,
273,Q2 2024/25,2024/06/24,"Petroleum, Oil and G(aPse CtroorSpAo)ration of South Africa",Platform Supply Vessel,African Marine Solutions Group,Operational Requirement,"R19 005 679,00","R18 315 000,00","R9 556 530,00",2024/06/19,2023/10/27,2024/06/30,Reported,
274,Q2 2024/25,2024/07/05,"Petroleum, Oil and G(aPse CtroorSpAo)ration of South Africa",Civil Services,MDC Arendse Construction,Internal Budget Increase,"R224 568,04","R99 429,43","R0,00",2024/07/04,2024/07/04,2024/07/04,Reported,
275,Q2 2024/25,2024/06/26,Rand Water,cShuippsp alyt aRnadn dd eWlivaeter ro of nca al ocnfi u 3Am 6s amhny opdno twhchh selirnit eb(aHsTisH fo) rg trhaen upleersi oadn do f,Ndulamiso Acqua Solutions,Contract period re-alignment and rates adjustment,"R6 595 250,00","R3 405 706,00","R10 000 956,00",2024/06/14,2024/11/30,2026/11/30,Reported,
276,Q2 2024/25,2024/07/10,South African Civil Aviation Authority (SACAA),Business Continuity Services,Resilient Innovation,Countinuation of service,"R755 040,00","R3 669 526,50","R0,00",2024/07/09,2024/07/01,2025/06/30,Reported,
277,Q2 2024/25,2024/06/28,Perishable Products Export Control Board (PPECB),Burgersfort Office Rental,KMHT Properties Investments CC,Countinuation of service,"R99 300,00","R476 640,00","R0,00",2024/06/26,2024/05/01,2027/04/30,Reported,
278,Q2 2024/25,2024/06/28,Perishable Products Export Control Board (PPECB),CRS Integration to HC Suite,CRS Technologies,Countinuation of service,"R83 600,00","R672 000,00","R0,00",2024/06/26,2024/06/01,2024/07/31,Reported,
279,Q2 2024/25,2024/06/28,Perishable Products Export Control Board (PPECB),Altron Karabina Dynamics 365 Implementation,Altron Karabina,Countinuation of service,"R1 859 068,00","R25 767 130,00","R6 172 523,00",2024/06/26,2021/07/01,2026/06/30,Reported,
280,Q2 2024/25,2024/06/28,Perishable Products Export Control Board (PPECB),Oracle HCM Suite,Oracle Corporation (South Africa),Countinuation of service,"R677 950,00","R30 431 602,00","R1 265 000,00",2024/06/26,2023/05/05,2028/07/31,Reported,
281,Q2 2024/25,2024/06/28,Perishable Products Export Control Board (PPECB),Microsoft Enterprise Agreement,Microsoft Ireland Operations Ltd,Countinuation of service,"R1 040 198,59","R63 722 317,25","R984 203,52",2024/06/26,2023/11/22,2025/12/31,Reported,
282,Q2 2024/25,2024/07/10,Department of Mineral Resources and Energy (DMRE),Ngaeh tyAu iosnp nedp arro sle i Sndint om( lP5 ae0orn 0lWot) ko u awf n tA aeitnrlsl n eH oa eMft aPsuto enrol riac je (riN pcwaStsaliW tt(eyP r Hu thy )n e) dp aL ert ot red grt hrsf ao e a mr slst mh ooe ce r i aie fn olf se rct roa armle la pdpt ei oot ro inn o e a do ns f ot sf foi ov efe la itg hr he t,Genmed Services (Pty) Ltd,Continuation of service,"R341 850,00","R795 000,00","R795 000,00",2024/05/15,2023/05/28,2024/07/21,Reported,
283,Q2 2024/25,2024/07/10,Department of Mineral Resources and Energy (DMRE),Ngaeh tyAu iosnp nedp arro sle i Sndint om( lP5 ae0orn 0lWot) ko u( awf8 n tA ae)i tnrlsml n eH oao eMftn aPtsuh to enrsol ria c j(e (riP N pcwo aStsal lo iW tt(keyPw r Hu tahy )n ne) dp eaL er t ot rMed grt u hrsf aon e a mri c slst mih opoe cea r i l aiei fnt olyf se rc)t roa armle la pdpt ei oot ro inn o e a do ns f ot sf foi ov efe la itg hr he t,Ultimate Projects and Management (Pty) Ltd,Continuation of service,"R154 880,00","R880 000,00","R880 000,00",2024/05/15,2024/05/28,2024/07/21,Reported,
284,Q2 2024/25,2024/07/10,Department of Mineral Resources and Energy (DMRE),Ngaeh tyAu iosnp nedp arro sle i Sndint om( lP5 ae0orn 0lWot) ko u( awf8 n tA ae)i tnrlsml n eH oao eMftn aPtsuh to enrsol ria c j(e (riP N pcwo aStsal lo iW tt(keyPw r Hu tahy )n ne) dp eaL er t ot rMed grt u hrsf aon e a mri c slst mih opoe cea r i l aiei fnt olyf se rc)t roa armle la pdpt ei oot ro inn o e a do ns f ot sf foi ov efe la itg hr he t,Allnat Projects (Pty) Ltd,Continuation of service,"R375 998,00","R878 500,00","R878 500,00",2024/05/15,2024/05/28,2024/07/21,Reported,
285,Q2 2024/25,2024/07/10,Department of Mineral Resources and Energy (DMRE),Ngaeh tyAu iosnp nedp arro sle i Sndint om( lP5 ae0orn 0lWot) ko u( awf8 n tA ae)i tnrlsml n eH oao eMftn aPtsuh to enrsol ria c j(e (riP N pcwo aStsal lo iW tt(keyPw r Hu tahy )n ne) dp eaL er t ot rMed grt u hrsf aon e a mri c slst mih opoe cea r i l aiei fnt olyf se rc)t roa armle la pdpt ei oot ro inn o e a do ns f ot sf foi ov efe la itg hr he t,Real Time Trading (PTY) LTD,Continuation of service,"R158 224,00","R899 000,00","R899 000,00",2024/05/15,2024/05/28,2024/07/21,Reported,
286,Q2 2024/25,2024/07/10,Department of Mineral Resources and Energy (DMRE),Ngaeh tyAu iosnp nedp arro sle i Sndint om( lP5 ae0orn 0lWot) ko u( awf8 n tA ae)i tnrlsml n eH oao eMftn aPtsuh to enrsol ria c j(e (riP N pcwo aStsal lo iW tt(keyPw r Hu tahy )n ne) dp eaL er t ot rMed grt u hrsf aon e a mri c slst mih opoe cea r i l aiei fnt olyf se rc)t roa armle la pdpt ei oot ro inn o e a do ns f ot sf foi ov efe la itg hr he t,Fullswing Trading 458 (Pty) Ltd,Continuation of service,"R333 250,00","R775 000,00","R775 000,00",2024/05/15,2024/05/28,2024/07/21,Reported,
287,Q2 2024/25,2024/07/10,Department of Mineral Resources and Energy (DMRE),Ngaeh tyAu iosnp nedp arro sle i Sndint om( lP5 ae0orn 0lWot) ko u( awf8 n tA ae)i tnrlsml n eH oao eMftn aPtsuh to enrsol ria c j(e (riP N pcwo aStsal lo iW tt(keyPw r Hu tahy )n ne) dp eaL er t ot rMed grt u hrsf aon e a mri c slst mih opoe cea r i l aiei fnt olyf se rc)t roa armle la pdpt ei oot ro inn o e a do ns f ot sf foi ov efe la itg hr he t,KRYSP (Pty) Ltd,Continuation of service,"R152 270,00","R855 450,00","R855 450,00",2024/05/15,2024/05/28,2024/07/21,Reported,
288,Q2 2024/25,2024/07/10,Department of Mineral Resources and Energy (DMRE),OseffrivcAiecp ep Mso a iin tnimt mthbeean Dt H (oeo8fpu ) aa sm r estm oe bnreuvt nh ii lc dts e i on( fP gp M ro fol oio nv rkie dw are aa prln etReo re i oMrse doun un odri fec c tri ewp sseae nl airt tncy ydu) -f r oEit uynr e g (ru 2ga 4yr ) da mitn Hog ne tahds,Mmampheng Costruction and Security Services,Extension of contract to finalise procurement process.,"R365 726,26","R4 388 721,12","R0,00",2024/05/13,2024/05/15,2024/07/14,Reported,
289,Q2 2024/25,2024/07/11,Amatola Water,Supply and Delivery of Polymmeotnrtihcs C hemicals for a period of 36,Protea Chemicals,Annual Price Adjustment,"R0,00","R0,00","R0,00",2024/04/09,Once off,Once off,Reported,
290,Q2 2024/25,2024/07/11,Amatola Water,ProLcuusrikeimsiekni Rt oefg aio PnaSl PW toa tceor nSduupcpt lyG eSoctheecmhnei c(aLlR IWnvSesSti)g: a Ztioanlus Dfoarm th e,Delta Geotech (Pty) Ltd,"S2e0Inr0v 9itce ,e r Pmsu sCb oolisfn hCtreala dcu tb,s ye3 rt8 hd. e 2E . Cd2io t(inoa sn) t roouffc tCth ioeIDn S BIt na Ddn uod sca tur rd ym P Bernoota f1re d0s 1s (C5io,In DJauBl l)y","R291 370,00","R13 672 846,80","R0,00",2024/06/19,2024/08/30,2024/10/15,Reported,
291,Q2 2024/25,2024/07/12,South African Nationa(lS EAnNeErgDyI )Development Institute,ADppPoWinItm/SeAnNt EofD aI Wseorvrikcseh oppro bveidinegr thoe rlde nodne rth Ce a1te6rthin ogf sMeravyic 2e0s2 f4or,Empilweni Food Specialist,"T caoh pmer pe ps rn ele idmcrev iearic nt ece tasd p t te tr hhoreeivni i rg rd eo es qrreiu ghr iiv ra neiscam el a essl ncr, e ott sha p ed ien y a ia tbd isade lwlie ytin e.o Tna ha hp al ep d s o snci enoortpte v efid uc let lyo","R11 040,00","R22 936,75","R0,00",2024/05/16,2024/05/16,2024/05/16,Reported,
292,Q2 2024/25,2024/07/12,South African Nationa(lS EAnNeErgDyI )Development Institute,Legal Services for the period of 2 months,PPM Attorneys,Additional scpohpaes eo f2 w oofr kth teh aIPt ndeucee dsisliigtaetnecde phase 1 and,"R1 000 000,00","R300 000,00","R0,00",2024/05/28,2024/03/08,2024/06/30,Reported,
293,Q2 2024/25,2024/07/12,South African Nationa(lS EAnNeErgDyI )Development Institute,"Connecting Green Hydrogen ESuurmompeit 2024(CGHE2024), Hydrogen",Leader Associates Inc.,"Inomfift o ai4a rd l tpl ehye e bwo ycph olteehnn efa e ttmh rte ee an n nsd cau eingb .g em N mti ohs ewes ni octt,hno oi n sw nf e sea ur semb nm moca rieesd. s e pT io eih nt r es o io sndn le ry ewc c qiiso ullim o ejon sp it nr iw ni s ua ge ss d","R29 441,70","R117 767,03","R0,00",2024/05/23,2024/06/26,2024/06/27,Reported,
294,Q2 2024/25,2024/07/12,South African Nationa(lS EAnNeErgDyI )Development Institute,"Supply, delivery and installation of a Videowall",Radiyakamoka Projects (Pty) Ltd,"R BiT na loh d cte hi ky e ac B okB ar alr om re eccok t dk Dp uar e oPb tc ur oou i ljdr te he icnemtg se f,o n(hlP lt oo tp wwyr)o ie nLc vgte ed s rr e,sw adea sess o l aw naye sps:rp e iCon fi o no tnhtlle seod t w rS uteoAcd Nti i n oa Es nn Dt da iIn ll","R32 680,00","R196 408,31","R0,00",2024/07/01,Not stated,Not stated,Reported,
295,Q2 2024/25,2024/07/12,South African Nationa(lS EAnNeErgDyI )Development Institute,Contract Variation with SNG Grant Thornton,SNG Grant Thornton,FTohr ci soc opmnrpot aicn reu esi dtsy t wop iulslr tpbaoerts imne gso rtwehs i cetth ri m ap t treh co e hce ufcfruiecrimreenentn ta ts npedrr o vccicoeess tsp-e r fofrfovicmidie enrt.,"R55 200,00","R110 400,00","R0,00",2024/07/01,Not stated,Not stated,Reported,
296,Q2 2024/25,2024/07/12,South African Nationa(lS EAnNeErgDyI )Development Institute,Contract variatiopnr ofovird Perr itnot ectco nadsu acnt aA mppalriaknect ere Lsaebaercl hredesign service,Printetc,Twhaes a adddditeiodsn auasfl f s itchc ieeo n pcteo t nofot rgra occ oto niusd t ustoctitl li t o hvn ea lo midf a markna edrk t tehte aren aisly nsois,"R76 113,58","R380 567,88","R0,00",2024/07/01,Not stated,Not stated,Reported,
